,_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest Poi
4969,4819725,2017-06-21 05:20:41.530,CA,ON,Sudbury,46.5213,-80.947,POI3
4970,4819868,2017-06-21 01:20:42.110,CA,AB,Edmonton,53.5105,-113.37,POI1
4971,4819911,2017-06-21 03:20:39.247,CA,AB,Sherwood Park,53.52321,-113.29501,POI1
4972,4820000,2017-06-21 06:20:41.717,CA,AB,Calgary,51.063,-113.889,POI1
4973,4820022,2017-06-21 00:20:42.113,CA,AB,Edmonton,53.60113,-113.44117,POI1
4974,4820036,2017-06-21 10:20:42.350,CA,AB,Edmonton,53.4398,-113.53741,POI1
4975,4820129,2017-06-21 12:20:42.523,CA,AB,Fort Mackay,57.29932,-111.50604,POI1
4976,4820139,2017-06-21 03:20:42.857,CA,QC,Trois-Rivières,46.3557,-72.55544,POI3
4977,4820161,2017-06-21 03:20:43.110,CA,AB,Edmonton,53.4564,-113.521,POI1
4978,4820179,2017-06-21 07:20:43.523,CA,QC,Saint-Hubert,45.416,-73.0071,POI3
4979,4820272,2017-06-21 15:20:43.647,CA,AB,Fort Mcmurray,56.75676,-111.45513,POI1
4980,4820331,2017-06-21 14:20:44.543,CA,AB,Calgary,51.0494,-113.9564,POI1
4981,4820367,2017-06-21 10:20:42.500,CA,ON,Brampton,43.694,-79.81606,POI3
4982,4820421,2017-06-21 19:20:42.677,CA,QC,Québec,46.79601,-71.25098,POI3
4983,4820509,2017-06-21 09:20:43.460,CA,ON,Milton,43.5152,-79.8802,POI3
4984,4820577,2017-06-21 05:20:43.610,CA,QC,Sainte-Thérèse,45.6378,-73.8414,POI3
4985,4820632,2017-06-21 16:20:45.190,CA,QC,Mirabel,45.7116,-74.0884,POI3
4986,4820678,2017-06-21 02:20:45.610,CA,QC,Laval,45.605,-73.7798,POI3
4987,4820763,2017-06-21 14:20:45.610,CA,QC,Laval,45.605,-73.7798,POI3
4988,4820937,2017-06-21 01:20:46.800,CA,AB,Fort Mcmurray,56.7377,-111.438,POI1
4989,4821017,2017-06-21 20:20:47.883,CA,ON,Kitchener,43.44957,-80.47364,POI3
4990,4821185,2017-06-21 12:20:43.240,CA,ON,Milton,43.5152,-79.8802,POI3
4991,4821187,2017-06-21 10:20:43.930,CA,ON,Mississauga,43.5296,-79.663,POI3
4992,4821366,2017-06-21 06:20:44.207,CA,ON,Mississauga,43.5296,-79.663,POI3
4993,4821392,2017-06-21 14:20:46.663,CA,AB,Edmonton,53.4567,-113.5801,POI1
